age,income,satisfaction_score
56,21864.848416902245,2
69,29498.267916705536,3
46,59544.57662517756,4
32,36399.18997130105,2
60,57140.63881140458,1
25,69554.91902597876,4
38,53173.80518489025,4
56,58955.66969268613,1
36,36554.97225306047,2
40,48320.18269239587,1
28,72034.11928148588,4
28,33141.52498189945,5
41,64250.0809326077,5
53,75897.74702863046,3
57,56868.276155000225,1
41,24735.68932451178,1
20,54902.678359550206,3
39,48783.21568761969,3
19,57016.92129894727,3
41,61041.83526003887,4
61,38304.47179010182,1
47,37341.554594841116,4
55,47741.99212610326,3
19,35516.63492157538,1
38,52257.33617165891,4
50,48298.68122980409,4
29,89502.92330918185,3
39,34623.636667837025,1
61,38269.282605502405,3
42,56359.146046864014,1
66,63090.57646985776,5
44,84308.38974435937,2
59,74343.80749012061,2
45,62355.99615462712,2
33,54395.88868468359,3
32,63449.455755664196,5
64,40845.169739789984,1
68,45257.51154785341,4
61,27763.6362971163,1
69,46567.287256414755,4
20,64439.61934999553,1
54,46854.61344744503,5
68,38389.35603880244,4
24,44603.32782062019,3
38,60861.24877288815,1
26,46163.53044561586,1
56,62748.81806093524,4
35,30330.13661373336,3
21,36945.42568158389,3
42,42400.351705527144,5
31,30350.739691812887,3
67,94154.95124721926,3
26,33556.01307077966,3
43,63723.264828890184,2
19,40009.09069654357,5
37,42293.187627376305,1
45,54519.84201424452,4
64,28122.246185198634,1
24,40058.9252993268,5
61,47802.907898875754,4
25,37309.744753164414,5
64,37662.65946829906,3
52,66300.90534558911,4
31,65074.80321053948,3
34,43373.509651609806,1
53,48737.52372228234,1
67,68555.24109404691,4
57,28602.816729116712,4
21,55070.33988312712,5
19,79618.5679543023,5
23,79475.52145888197,3
59,20901.33172095135,4
21,38560.59553677273,1
46,52529.89080789942,5
35,30171.845740498415,5
43,39976.299513013815,1
61,47940.63494481095,5
51,71019.82347040437,3
27,49318.96017069746,4
53,53254.05089243514,1
31,57686.355985574046,4
48,58152.33036863654,5
65,50421.491950223026,5
32,32043.694049925456,1
25,61845.092071260086,3
31,56472.34194894563,2
40,33548.71552134216,1
57,39765.476541195916,2
38,63312.674216244035,2
33,59082.24696271512,3
62,39195.530107117804,2
35,45950.99346386464,2
64,47848.06655553966,3
41,59255.05663572695,2
43,68734.11048709866,2
42,50984.73737166837,2
62,67538.11470428933,1
58,63099.754536341396,1
46,53084.75201010006,1
32,28347.74972455642,3
